장소,지역,주소,구분,위도,경도,전화번호,홈페이지,제한조건
가학산근린공원,광명시,경기도 광명시 가학동 산 7,관광지,37.42592096,126.865928,02-2680-6952,,소형
한내근린공원,광명시,경기도 광명시 소하동 1308-1,관광지,37.45057078,126.886528,02-2680-6462,,없음
광명시반려견놀이터,광명시,경기도 광명시 소하동 1345,관광지,37.44474476,126.894026,031-335-6050,,없음
북앤독카페,광명시,경기도 광명시 하안동 110-3,식당/카페,37.46224495,126.882225,02-898-5979,http://cafe.naver.com/bookndog,없음
경기도자박물관,광주시,경기도 광주시 곤지암읍 삼리 72-1,관광지,37.35028278,127.334786,031-799-1500,http://www.ggcm.or.kr,실외만 반려동물 동반 가능
카페수리,광주시,경기도 광주시 곤지암읍 열미리 76,식당/카페,37.38559586,127.356803,070-7834-6295,http://blog.naver.com/mirongee,15kg 이하
땡구네,광주시,경기도 광주시 곤지암읍 오향리 21-8,식당/카페,37.35528938,127.38216,,https://www.instagram.com/_ddang_9/,없음
팔당물안개공원,광주시,경기도 광주시 남종면 귀여리 596,관광지,37.51029917,127.314443,031-762-1039,,없음
위켄드컴즈,광주시,경기도 광주시 능평동 340-18,식당/카페,37.35284231,127.164722,0507-1366-7104,https://www.instagram.com/weekendcomes.kr,없음
땡스폴 애견카페,광주시,경기도 광주시 능평동 433,식당/카페,37.35787971,127.163991,0507-1334-2464,http://www.instagram.com/THANKS.PAUL,10kg 이하
내가 더 애견카페,광주시,경기도 광주시 목현동 421-2,식당/카페,37.43338066,127.21164,0507-1328-4248,http://instagram.com/morethan0711,10kg 이하
티파니 가든,광주시,경기도 광주시 문형동 586-9,식당/카페,37.33919453,127.20325,070-4647-4504,https://www.instagram.com/tiffany_garden__/,없음
도그런,광주시,경기도 광주시 신현동 466-1,식당/카페,37.37623765,127.165803,031-726-0929,,없음
중대물빛공원,광주시,경기도 광주시 중대동 91,관광지,37.4000958,127.220672,031-762-1039,https://www.gjcity.go.kr/tour/contents.do?mId=0101070000,없음
봉주르봉구,광주시,경기도 광주시 초월읍 대쌍령리 342-6,식당/카페,37.39181974,127.284723,0507-1405-8308,https://www.instagram.com/youjinyoung830629,없음
카페 베네치아,광주시,경기도 광주시 초월읍 지월리 625-1,식당/카페,37.40807619,127.291707,031-762-5032,https://blog.naver.com/pron1204,없음
갈매구릉산자락길,구리,경기도 구리시 갈매동 392-20,관광지,37.62707172,127.121305,031-550-2047,https://www.guri.go.kr/culture/selectTourCntntsWebView.do?tourNo=161&key=1188&ctgry=5,없음
이구역의댕댕이,구리,경기도 구리시 갈매동 646,식당/카페,37.63053607,127.117141,0507-1383-8502,,없음
장자호수공원,구리,경기도 구리시 교문동 537,관광지,37.58253843,127.138798,031-550-2472,https://www.ggtour.or.kr/tourdb/goosuk.php?no=374&mode=detail,없음
고구려대장간마을,구리,경기도 구리시 아천동 316-47,관광지,37.56080787,127.110949,031-550-2363,http://www.guri.go.kr/main/gbv,실외만 반려동물 동반 가능
구리역공원,구리,경기도 구리시 인창동 675-1,관광지,37.60236014,127.141687,031-550-2417,,없음
구리한강시민공원,구리,경기도 구리시 토평동 810,관광지,37.57447848,127.132863,031-550-3789,https://www.guri.go.kr/environment/contents.do?key=1393,없음
반월호수공원,군포시,경기도 군포시 둔대동 354-3,관광지,37.32458238,126.889964,031-390-3276,https://www.gunpo.go.kr/tour/index.do,없음
비숲,군포시,경기도 군포시 둔대동 423-28,식당/카페,37.32578833,126.889197,031-438-2191,,소형/중형
고양이를 부탁해,군포시,경기도 군포시 산본동 1131-1,식당/카페,37.36026772,126.932386,070-4045-0108,http://blog.naver.com/aricatmom,없음
초막골생태공원,군포시,경기도 군포시 산본동 917-3,관광지,37.34907427,126.918299,031-399-6601,https://www.gunpo.go.kr/chomakgol/index.do,없음
개들의수다,김포시,경기도 김포시 고촌읍 신곡리 394-1,숙소,37.60457184,126.776563,031-989-4518,https://www.instagram.com/dog_chatter/,소형/중형
나무휴식,김포시,경기도 김포시 고촌읍 태리 219-1,식당/카페,37.60073418,126.750277,031-985-4221,https://www.instagram.com/namuhyusik/,없음
완두콩 애견카페 펍,김포시,경기도 김포시 양촌읍 구래리 431-6,식당/카페,37.65364472,126.626911,0507-1481-9333,,없음
하우스오브바두기,김포시,경기도 김포시 양촌읍 석모리 886,식당/카페,37.65195536,126.651744,031-989-1073,,없음
아이러브퍼피 본점,김포시,경기도 김포시 운양동 1289-1,식당/카페,37.65310896,126.692592,0507-1318-7650,https://www.instagram.com/cafe__ilovepuppy/,없음
견복궁,김포시,경기도 김포시 운양동 823-1,식당/카페,37.66184771,126.679314,031-982-6261,https://www.instagram.com/gyeonbokgung/,15kg 이하
김포국제조각공원,김포시,경기도 김포시 월곶면 고막리 435-14,관광지,37.72103748,126.553771,031-984-5167,https://www.gcf.or.kr/main/?mc_code=1414,없음
하성근린공원 반려견놀이터,김포시,경기도 김포시 하성면 석탄리 491-1,관광지,37.72436612,126.630123,031-997-6868,,없음
도그캠프,김포시,경기도 김포시 하성면 전류리 77-1,식당/카페,37.69981733,126.660933,070-8835-2222,https://www.instagram.com/dogcamp.official/,없음
미미언니네 독푸드카페,남양주시,경기도 남양주시 다산동 6103-3,식당/카페,37.62099958,127.160164,0507-1483-3027,http://instagram.com/meatymomma2017,없음
다산 현대프리미엄아울렛 흰디하우스,남양주시,경기도 남양주시 다산동 6141,관광지,37.61625793,127.152429,02-549-2233,http://www.ehyundai.com/newPortal/outlet/DP/FG/FG000000_V.do?branchCd=B00178000&outletYN=Y,소형/중형
도그라운지,남양주시,경기도 남양주시 별내동 558-3,식당/카페,37.64436763,127.111561,070-7543-5280,http://instagram.com/cafe_doglounge,7kg 이하
고양이카페38.5,남양주시,경기도 남양주시 별내동 826-7,식당/카페,37.66633739,127.117557,031-529-6364,http://blog.naver.com/leeso605,없음
리블링코코 카페,남양주시,경기도 남양주시 별내면 광전리 329,식당/카페,37.68751362,127.133005,031-527-2053,https://www.instagram.com/liebling_coco/,12kg 미만
멍블럭,남양주시,경기도 남양주시 수동면 내방리 147-9,식당/카페,37.74386903,127.286757,031-523-9008,https://mungblock.modoo.at/,없음
소소온기,남양주시,경기도 남양주시 수동면 수산리 599,식당/카페,37.75799978,127.27063,0507-1449-5560,https://www.instagram.com/soso_ongi/,없음
아지트261,남양주시,경기도 남양주시 수동면 입석리 422-4,숙소,37.71520309,127.342597,,http://azit261.co.kr/,8kg 이하
물골안랜드 애견피크닉,남양주시,경기도 남양주시 수동면 입석리 534,식당/카페,37.71766177,127.3152,0507-1445-3340,https://happypuppy.modoo.at,없음
아이유랑,남양주시,경기도 남양주시 수동면 지둔리 4-1,식당/카페,37.71854007,127.311493,0507-1362-5030,https://www.instagram.com/aiullang_official,없음
물맑음펜션,남양주시,경기도 남양주시 수동면 지둔리 53-23,숙소,37.71283783,127.306716,031-592-9963,http://물맑음펜션.com,없음
오남호수공원,남양주시,경기도 남양주시 오남읍 오남리 산 50-2,관광지,37.69398731,127.225383,031-590-2416,https://www.nyj.go.kr/culture/276?action-value=d4f3c7ee77df8227a113c0def5eea3c8&action=read,없음
카페101 파크뷰,남양주시,경기도 남양주시 와부읍 덕소리 283-21,식당/카페,37.59752302,127.221297,0507-1349-4516,https://www.instagram.com/cafe101_parkview/?hl=ko,소형/중형
봉봉애견카페,남양주시,경기도 남양주시 와부읍 덕소리 87-4,식당/카페,37.59007999,127.224138,031-577-7373,,10kg 미만
랑랑이네 정원,남양주시,경기도 남양주시 와부읍 월문리 317-37,식당/카페,37.60742606,127.258855,031-577-0726,,없음
도그맥스,남양주시,경기도 남양주시 와부읍 율석리 242-1,식당/카페,37.61638836,127.221774,031-521-5311,,10kg 미만
남양주시립박물관,남양주시,경기도 남양주시 와부읍 팔당리 237-3,관광지,37.54638614,127.244374,031-590-8600,https://nyjmuseum.blog.me/,없음
카페스토리,남양주시,경기도 남양주시 와부읍 팔당리 645,식당/카페,37.55486694,127.241313,0507-1367-5004,https://cafestory.me/,없음
포러데이,남양주시,경기도 남양주시 와부읍 팔당리 774,식당/카페,37.55649814,127.236351,0507-1300-6625,,없음
마담파이 팔당점,남양주시,경기도 남양주시 와부읍 팔당리 789-7,식당/카페,37.55323892,127.237004,031-521-4457,http://www.instagram.com/madame.pie,없음
애견카페왕,남양주시,경기도 남양주시 일패동 65-27,식당/카페,37.62767091,127.190996,,https://blog.naver.com/onefiss,15kg 미만
천주교마재성지,남양주시,경기도 남양주시 조안면 능내리 116,관광지,37.52158925,127.296065,031-576-5412,http://www.majaesungji.or.kr/,소형/중형
실학박물관,남양주시,경기도 남양주시 조안면 능내리 27-1,관광지,37.51599953,127.300635,031-579-6000,http://silhak.ggcf.or.kr,없음
다산생태공원,남양주시,경기도 남양주시 조안면 능내리 56-15,관광지,37.51439642,127.298308,031-590-8634,https://www.nyj.go.kr/culture/3426?action-value=276191&action=read,없음
육갑,남양주시,경기도 남양주시 조안면 삼봉리 697,관광지,37.59141526,127.319782,031-576-1888,,없음
물의정원,남양주시,경기도 남양주시 조안면 진중리 95,관광지,37.55735394,127.313527,031-590-2783,https://www.nyj.go.kr/culture/276?action-value=275994&action=read,없음
개떼놀이터,남양주시,경기도 남양주시 진건읍 사능리 224-22,식당/카페,37.65005161,127.190442,031-529-9955,,18kg 미만
퍼피빈 카페,남양주시,경기도 남양주시 진접읍 금곡리 818-7,식당/카페,37.71430342,127.209718,0507-1422-1127,http://instagram.com/puppybean_dogcafe,없음
토실이네,남양주시,경기도 남양주시 진접읍 부평리 262,숙소,37.75057553,127.189115,,https://blog.naver.com/tosil-house,15kg 이하
그라운독,남양주시,경기도 남양주시 진접읍 장현리 148-9,식당/카페,37.7356138,127.186047,0507-1315-9673,http://www.instagram.com/groun_dog,없음
ONSIDE 카페,남양주시,경기도 남양주시 퇴계원읍 퇴계원리 329-17,식당/카페,37.64743884,127.137561,0507-1316-4672,http://www.instagram.com/onside_cafe_with_pet,15kg 이하
코니아일랜드 애견카페,남양주시,경기도 남양주시 화도읍 금남리 104-1,식당/카페,37.65335271,127.368589,0507-1436-2394,https://www.instagram.com/coneyisland0858,소형/중형
독스아웃,남양주시,경기도 남양주시 화도읍 금남리 171-1,식당/카페,37.64604134,127.365238,031-591-0900,,"12kg 이하, 금요일은 없음"
엠아르 카페,남양주시,경기도 남양주시 화도읍 금남리 192-5,식당/카페,37.65028508,127.368814,0507-1427-0913,http://www.instagram.com/em_rr_,없음
피아노폭포,남양주시,경기도 남양주시 화도읍 금남리 산 47-48,관광지,37.63056116,127.348309,031-560-1577,https://www.nyj.go.kr/culture/3433?action=read&action-value=ab53421a8aa625e6c3a174743c6a42eb,없음
아인슈페너,남양주시,경기도 남양주시 화도읍 녹촌리 157-4,식당/카페,37.642214,127.293812,031-559-6572,http://www.instagram.com/einspanner2016,없음
알베로벨로,남양주시,경기도 남양주시 화도읍 마석우리 10-27,식당/카페,37.65786074,127.32027,0507-1325-5058,https://www.instagram.com/cafe_alberobello/,없음
그네애견카페,남양주시,경기도 남양주시 화도읍 차산리 166-2,식당/카페,37.63360521,127.304786,0507-1408-0066,http://www.instagram.com/cafe_geune,15kg 이하
고양이팔경캣스쿨,남양주시,경기도 남양주시 화도읍 창현리 436-2,식당/카페,37.64899428,127.306752,031-511-1717,https://blog.naver.com/rlaworua6265,없음
경기북부어린이박물관,동두천시,경기도 동두천시 상봉암동 162,관광지,37.94457481,127.064321,031-868-9610,http://ngcm.ggcf.kr,실외만 반려동물 동반 가능
자유수호평화박물관,동두천시,경기도 동두천시 상봉암동 162-10,관광지,37.94250341,127.066057,031-860-3330,www.ddc.go.kr/museum,없음
BAD DOG 배드독,동두천시,경기도 동두천시 생연동 743-6,식당/카페,37.8981894,127.057512,031-868-6008,,없음
도자기공방숲 디저트카페,동두천시,경기도 동두천시 송내동 673,식당/카페,37.88203911,127.053929,0507-1342-2216,http://www.soop365.co.kr/,없음
오도독,동두천시,경기도 동두천시 탑동동 830-2,식당/카페,37.88975066,127.094196,031-866-5999,,없음
부천백만송이장미원,부천시,경기도 부천시 도당동 산 25-5,관광지,37.51704947,126.793195,032-320-3000,,없음
The Azit,부천시,경기도 부천시 범박동 218-2,식당/카페,37.47108363,126.813693,032-345-7070,http://blog.naver.com/xlldbllx,없음
카페소풍,부천시,경기도 부천시 상동 531-3,식당/카페,37.50691638,126.74938,0507-1484-9798,http://instagram.com/bucheon_cafe_sopoong,소형/중형
길주로카페 애견,부천시,경기도 부천시 상동 535-9,식당/카페,37.50626767,126.755361,0507-1437-7836,,없음
상동호수공원,부천시,경기도 부천시 상동 549,관광지,37.50244089,126.745241,032-324-2019,http://www.sdlakepark2019.com,없음
렛츠플레이독,부천시,경기도 부천시 상동 572-1,관광지,37.49997006,126.744235,0507-1480-0126,https://www.instagram.com/playdog_bucheon/,없음
뽀독,부천시,경기도 부천시 소사본동 133-12,식당/카페,37.47980795,126.797292,032-346-0988,,10kg 미만
코쿠케이크,부천시,경기도 부천시 약대동 182-57,식당/카페,37.51550592,126.765037,070-4246-6328,https://www.instagram.com/koku_bakeshop,없음
올대디 애견카페,부천시,경기도 부천시 중동 1109,식당/카페,37.49995794,126.7776,032-662-1121,https://www.instagram.com/alldaddy_pet,없음
배추다방,부천시,경기도 부천시 중동 1118-1,식당/카페,37.49419512,126.780159,070-7623-0712,,없음
앙쥬레브펫 롯데백화점중동점,부천시,경기도 부천시 중동 1140,식당/카페,37.50254165,126.775312,032-320-7443,,8kg 미만
사바나코쉬카,부천시,경기도 부천시 중동 1143-6,식당/카페,37.5015058,126.772786,032-322-3936,https://cafe.naver.com/,없음
함께할개 사랑할개,부천시,경기도 부천시 중동 1147,식당/카페,37.50263004,126.770997,032-329-7752,,15kg 미만
애견카페 똥강아지,부천시,경기도 부천시 중동 1167-3,식당/카페,37.50307308,126.760862,032-662-5333,,없음
부천자연생태박물관,부천시,경기도 부천시 춘의동 381,관광지,37.50512868,126.815687,032-625-3503,www.ecopark.bucheon.go.kr,없음
부천활박물관,부천시,경기도 부천시 춘의동 8,관광지,37.50256527,126.799025,032-614-2678,www.bcmuseum.or.kr,없음
도넛드로잉,성남시 분당구,경기도 성남시 분당구 금곡동 379-13,식당/카페,37.35263577,127.100743,0507-1345-0993,https://www.instagram.com/donut_drawing_/,없음
쏘스윗 커피,성남시 분당구,경기도 성남시 분당구 백현동 529,식당/카페,37.39119618,127.108938,0507-1320-4315,https://www.instagram.com/sosweet_coffee_pet_hotel/,없음
휴독,성남시 분당구,경기도 성남시 분당구 분당동 104-9,식당/카페,37.37541908,127.145821,070-4216-6991,http://m.cafe.naver.com/hudog,없음
화랑공원,성남시 분당구,경기도 성남시 분당구 삼평동 639,관광지,37.39708376,127.106227,031-707-4982,https://www.seongnam.go.kr/park/neighborhoodView.do,없음
그린그라스,성남시 분당구,경기도 성남시 분당구 석운동 52-5,식당/카페,37.38076381,127.045785,0507-1313-7065,https://www.instagram.com/greengrass__official/,실외만 반려동물 동반 가능
키움반려견스쿨,성남시 분당구,경기도 성남시 분당구 석운동 53-1,식당/카페,37.38018291,127.045811,0507-1376-2282,https://blog.naver.com/dldnddyd11,없음
더독애견카페,성남시 분당구,경기도 성남시 분당구 석운동 72-20,식당/카페,37.37322855,127.04554,0507-1430-4884,http://www.thedogcafe.co.kr/,없음
분당중앙공원,성남시 분당구,경기도 성남시 분당구 수내동 65,관광지,37.38030766,127.121179,031-729-4907,,없음
율동공원,성남시 분당구,경기도 성남시 분당구 율동 산 91-12,관광지,37.37655571,127.152412,031-702-8713,http://ydpark.co.kr/,없음
째즈고양이카페,성남시 분당구,경기도 성남시 분당구 이매동 120-1,식당/카페,37.3918439,127.125413,031-705-9022,,없음
판교박물관,성남시 분당구,경기도 성남시 분당구 판교동 499,관광지,37.4009256,127.095585,031-729-4535,www.pangyomuseum.go.kr,없음
오마이독,성남시 수정구,경기도 성남시 수정구 금토동 650-1,식당/카페,37.40198677,127.073342,0507-1380-1413,,없음
ban dog cafe,성남시 수정구,경기도 성남시 수정구 복정동 685-7,식당/카페,37.45867416,127.126491,031-755-0702,http://bandogcafe.blog.me,없음
호텔더일마,성남시 수정구,경기도 성남시 수정구 사송동 482-2,식당/카페,37.41198784,127.113275,0507-1377-5867,https://www.instagram.com/hoteltheilma/,없음
커피타는너구리,성남시 수정구,경기도 성남시 수정구 수진동 1-3,식당/카페,37.44188479,127.135886,031-756-3323,,없음
펫아일럿,성남시 수정구,경기도 성남시 수정구 신흥동 5501,식당/카페,37.44352127,127.141295,070-8193-2835,,없음
양지공원,성남시 수정구,경기도 성남시 수정구 양지동 979-8,관광지,37.46246078,127.161511,031-729-4903,https://www.sujeong-gu.go.kr/mobile/sub/content.asp?cIdx=218,없음
위클리커피,성남시 수정구,경기도 성남시 수정구 창곡동 563,식당/카페,37.46676779,127.142159,0507-1343-1744,https://www.instagram.com/weeklycoffee.official/,없음
라드독 애견카페,성남시 중원구,경기도 성남시 중원구 하대원동 385,식당/카페,37.42701506,127.143887,0507-1358-1989,http://blog.naver.com/ok-dog,없음
딜라이트,수원시 권선구,경기도 수원시 권선구 곡반정동 511-4,식당/카페,37.24525051,127.034777,0507-1301-7873,https://dilllightsg.modoo.at/,없음
애견카페왈,수원시 권선구,경기도 수원시 권선구 곡반정동 563-1,식당/카페,37.23856644,127.029939,031-239-4856,,없음
Cafe109,수원시 권선구,경기도 수원시 권선구 권선동 1011-14,식당/카페,37.26107214,127.025896,031-258-0034,,없음
올림픽공원,수원시 권선구,경기도 수원시 권선구 권선동 1012,관광지,37.26147429,127.028578,031-228-4628,https://ksun.suwon.go.kr/submain_view.asp?TopID=sub05&MenuID=sub050301,없음
마중공원,수원시 권선구,경기도 수원시 권선구 권선동 1348,관광지,37.23574475,127.021519,1899-9900,,없음
호매실동반려견놀이터,수원시 권선구,경기도 수원시 권선구 금곡동 1119-1,관광지,37.27319917,126.951451,,https://blog.naver.com/suwonloves/222875987578,없음
딩고,수원시 영통구,경기도 수원시 영통구 망포동 599-1,식당/카페,37.23526851,127.055064,070-4242-5959,,소형/중형
언니네 애견카페,수원시 영통구,경기도 수원시 영통구 원천동 614-2,식당/카페,37.27414734,127.052339,031-215-7271,https://ts0312157271.modoo.at/,없음
수원박물관,수원시 영통구,경기도 수원시 영통구 이의동 1088-10,관광지,37.29764714,127.035633,031-228-4150,http://swmuseum.suwon.go.kr,없음
아이러브퍼피 수원광교점,수원시 영통구,경기도 수원시 영통구 이의동 1222-3,식당/카페,37.31191737,127.054793,031-216-2453,http://www.ilovepuppy.co.kr/suwon/,없음
카페도기,수원시 영통구,경기도 수원시 영통구 이의동 1276-1,식당/카페,37.2978383,127.04307,0507-1338-7741,https://www.instagram.com/cafedog2/,없음
수원광교박물관,수원시 영통구,경기도 수원시 영통구 이의동 403-2,관광지,37.29634871,127.051422,031-228-4175,http://ggmuseum.suwon.go.kr,없음
광교호수공원 반려견 놀이터,수원,경기도 수원시 영통구 하동 1008-9,관광지,,,031-228-4192,https://www.suwon.go.kr/sw-www/deptHome/dep_env/env_05/env_05_01/env_05_01_04/env_05_01_04_08.jsp,
광교호수공원,수원시 영통구,경기도 수원시 영통구 하동 1026-1,관광지,37.28326769,127.070057,070-8800-2460,http://www.gglakepark.or.kr/,없음
수원화성,수원시 장안구,경기도 수원시 장안구 연무동 190,관광지,37.28786446,127.018377,031-290-3600,http://www.swcf.or.kr/,없음
해우재,수원시 장안구,경기도 수원시 장안구 이목동 184-6,관광지,37.31867475,126.977899,031-271-9777,http://www.haewoojae.com,없음
방화수류정,수원시 팔달구,경기도 수원시 팔달구 매향동 151,관광지,37.28754184,127.018095,031-290-3600,,없음
수원화성박물관,수원시 팔달구,경기도 수원시 팔달구 매향동 49,관광지,37.28259139,127.018985,031-228-4242,www.hsmuseum.suwon.go.kr,없음
모소,수원시 팔달구,경기도 수원시 팔달구 우만동 125-2,식당/카페,37.27922641,127.038194,0507-1315-2043,http://www.instagram.com/__moso,소형/중형
효원공원,수원시 팔달구,경기도 수원시 팔달구 인계동 1117,관광지,37.26467203,127.039444,031-228-7042,https://www.suwon.go.kr/web/visitsuwon/tour03/tour03-01/pages.do?seqNo=126,없음
크레이지도넛,수원시 팔달구,경기도 수원시 팔달구 인계동 1127-1,식당/카페,37.25983674,127.034625,031-225-7879,,없음
인계예술공원,수원시 팔달구,경기도 수원시 팔달구 인계동 1128,관광지,37.25939225,127.036451,031-228-2114,,없음
이뻐해줄개,수원시 팔달구,경기도 수원시 팔달구 인계동 975-7,식당/카페,37.26872023,127.024829,0507-1402-8605,,없음
오피큐알,수원시 팔달구,경기도 수원시 팔달구 장안동 89-2,식당/카페,37.28669272,127.012347,0507-1318-5448,https://blog.naver.com/hellopqr,없음
멍트럴파크 애견운동장,시흥시,경기도 시흥시 대야동 3-13,식당/카페,37.47085457,126.782807,031-314-7752,,소형/중형
메르블루,시흥시,경기도 시흥시 방산동 795,식당/카페,37.40584363,126.753753,031-315-7020,,없음
배곧한울공원,시흥시,경기도 시흥시 배곧동 307,관광지,37.35465274,126.702032,031-310-3863,https://blog.naver.com/siheungblog/222252406919,없음
갯골생태공원,시흥시,경기도 시흥시 장곡동 724-32,관광지,37.38979099,126.781255,031-488-6900,,없음
오이도,시흥시,경기도 시흥시 정왕동 1072-1,관광지,37.34394261,126.694581,031-498-5671,,없음
개정촌,시흥시,경기도 시흥시 정왕동 1737-13,식당/카페,37.34500872,126.737047,070-7763-1105,http://cafe.naver.com/dogheartvillage,없음
옥구공원,시흥시,경기도 시흥시 정왕동 2138,관광지,37.35451663,126.709916,031-310-3864,,없음
시흥오이도박물관,시흥시,경기도 시흥시 정왕동 2202-6,관광지,37.33518527,126.691253,031-310-3052,www.oidomuseum.siheung.go.kr/,없음
연꽃테마파크,시흥시,경기도 시흥시 하중동 271,관광지,37.4007007,126.808403,031-310-6224,https://www.siheung.go.kr/portal/treasureMap/view.do?idx=2&mId=0814010900,없음
대부바다향기테마파크,안산시 단원구,경기도 안산시 단원구 대부북동 1841-10,관광지,37.28627433,126.574554,1899-1720,https://www.ansan.go.kr/tourinfo/main/main.do,없음
낙조전망대,안산시 단원구,경기도 안산시 단원구 대부북동 산 23,관광지,37.28823974,126.534543,1899-1720,https://www.ansan.go.kr/tourinfo/common/cntnts/selectContents.do?cntnts_id=C0001971,없음
안산어촌민속박물관,안산시 단원구,경기도 안산시 단원구 선감동 717,관광지,37.19250726,126.646121,032-886-2912,www.ansanuc.net,없음
탄도항,안산시 단원구,경기도 안산시 단원구 선감동 717-5,관광지,37.19309112,126.64563,1899-1720,,없음
개간지 애견카페,안산시 단원구,경기도 안산시 단원구 선부동 1070-18,식당/카페,37.336637,126.809391,031-401-5570,http://cafe.naver.com/ggjclub,없음
성곡반려견놀이터,안산시 단원구,경기도 안산시 단원구 성곡동 696,관광지,37.32350549,126.736686,031-481-3647,,없음
어울림공원,안산시 단원구,경기도 안산시 단원구 신길동 1575,관광지,37.33303718,126.788688,031-481-6412,,없음
경기도미술관,안산시 단원구,경기도 안산시 단원구 초지동 667,관광지,37.32507855,126.80999,031-481-7000,http://gmoma.ggcf.kr,실외만 반려동물 동반 가능
화랑유원지,안산시 단원구,경기도 안산시 단원구 초지동 667,관광지,37.32308895,126.816187,031-487-7780,,없음
넌나의가족,안산시 상록구,경기도 안산시 상록구 본오동 870-9,식당/카페,37.29329846,126.864439,0507-1367-9842,http://instagram.com/u_my_family,없음
성호박물관,안산시 상록구,경기도 안산시 상록구 부곡동 709,관광지,37.31507523,126.859577,031-481-2574,seongho.ansan.go.kr,없음
부곡산림욕장 유아숲체험원,안산시 상록구,경기도 안산시 상록구 부곡동 산 5-1,관광지,37.34083789,126.882195,031-481-2406,https://www.ggtour.or.kr/tourdb/goosuk.php?no=884&mode=detail,없음
안산호수공원,안산시 상록구,경기도 안산시 상록구 사동 1509,관광지,37.29743704,126.825892,1666-1234,,없음
안산향토사박물관,안산시 상록구,경기도 안산시 상록구 사동 1586-1,관광지,37.29932569,126.847632,031-415-0041,http://www.ansanculture.or.kr,없음
멍쓰런,안산시 상록구,경기도 안산시 상록구 양상동 243-9,식당/카페,37.34464327,126.850651,0507-1358-3768,https://www.instagram.com/mungs_run/,15kg 이하
루프앤독,안산시 상록구,경기도 안산시 상록구 이동 718-4,식당/카페,37.30619919,126.849923,0507-1318-2923,,없음
멍뭉아 놀다가,안성시,경기도 안성시 공도읍 마정리 158-3,식당/카페,37.01108564,127.197112,031-652-2071,,없음
안성팜랜드,안성시,경기도 안성시 공도읍 신두리 451,관광지,36.99208881,127.194423,031-8053-7979,http://nhasfarmland.com/new/dog/dog01.php,중형/대형
안성맞춤박물관,안성시,경기도 안성시 대덕면 내리 399-5,관광지,37.01131789,127.228356,031-676-4352,https://www.anseong.go.kr/tourPortal/museum/main.do,없음
배꽃길61,안성시,경기도 안성시 대덕면 모산리 360,식당/카페,37.03004074,127.240539,0507-1366-8675,http://instagram.com/baekkot_gil61,없음
포인트랜드,안성시,경기도 안성시 대덕면 보동리 406-2,식당/카페,37.04713408,127.243778,031-674-0079,https://www.instagram.com/ansung_pointland/,없음
안성맞춤랜드,안성,경기도 안성시 보개면 남사당로 198,관광지,,,031-678-2672,https://www.anseong.go.kr/tourPortal/camp/contents.do?mId=0103010000,
안성남사당전수관,안성시,경기도 안성시 보개면 복평리 34-3,관광지,37.03129806,127.309143,031-675-3925,https://www.anseong.go.kr/tour/contents.do?mId=0103000000,없음
도기헤븐,안성시,경기도 안성시 삼죽면 진촌리 210-6,식당/카페,37.0618133,127.370512,031-677-1964,http://cafe.naver.com/doggyheaven,없음
포시즌애견테마파크,안성시,경기도 안성시 서운면 신능리 128-1,관광지,36.96692604,127.281397,0507-1336-2251,,없음
애견회관,안성시,경기도 안성시 숭인동 1-4,식당/카페,37.01028271,127.274865,0507-1392-6499,https://instagram.com/aegyeonhoigwan?utm_medium=copy_link,없음
펫피랜드,안성시,경기도 안성시 원곡면 성주리 350,식당/카페,37.08829282,127.149461,031-654-5234,https://petpiland.modoo.at/,없음
스테리나잇,안성시,경기도 안성시 원곡면 지문리 303-5,식당/카페,37.06730138,127.151972,0507-1484-7715,https://www.instagram.com/cafe.starry_night,없음
풀독,안성시,경기도 안성시 원곡면 칠곡리 190,식당/카페,37.05081041,127.159911,,https://www.instagram.com/fulldog_cafe/,없음
안성31운동기념관,안성시,경기도 안성시 원곡면 칠곡리 2-18,관광지,37.06278466,127.175295,031-678-2476,www.anseong.go.kr/tourPortal/41/main.do,없음
멍플스테이,안성시,경기도 안성시 죽산면 용설리 522-1,관광지,37.05682862,127.451989,031-676-9512,https://cample-stay.com/,없음
평촌중앙공원,안양시 동안구,경기도 안양시 동안구 평촌동 895,관광지,37.39013664,126.961329,031-8045-2810,,없음
개털깎는남자,안양시 동안구,경기도 안양시 동안구 호계동 894-3,식당/카페,37.39151118,126.944251,031-385-1182,http://blog.naver.com/ash11015/,없음
삼막애견공원,안양시 만안구,경기도 안양시 만안구 석수동 18,관광지,37.42894581,126.914862,070-4140-4000,,없음
김중업건축박물관,안양시 만안구,경기도 안양시 만안구 석수동 212-1,관광지,37.41838562,126.918315,031-687-0909,www.ayac.or.kr/museum/kimchungup,실외만 반려동물 동반 가능
위드독애견카페,안양시 만안구,경기도 안양시 만안구 안양동 1361,식당/카페,37.41970463,126.927588,031-473-8114,,소형/중형
루체인알티스,안양시 만안구,경기도 안양시 만안구 안양동 1390-1,식당/카페,37.39633325,126.930747,0507-1323-2081,https://blog.naver.com/ekdud6659,없음
cafe levelroz,안양시 만안구,경기도 안양시 만안구 안양동 674-270,식당/카페,37.39916277,126.922817,0507-1354-8563,http://www.instagram.com/cafelevelroz,없음
